time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
3500,51.5195080291626,5.8606495661053,0,0,95.681252405632,95.681252405632,0.328084,0,0.39508203364,0.69087272552,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3600,51.5195080278435,5.86064953197594,0,0,95.681252405632,95.681252405632,0.328084,0,0.4018700916,0.6986384738,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3700,51.5195080245834,5.86064952743087,0,0,95.681252405632,95.681252405632,0.328084,0,0.40337599716,0.700213277,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3800,51.5195080207728,5.86064952850303,0,0,95.681252405632,95.681252405632,0.328084,0,0.40391733576,0.7016240382,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3900,51.5195080181413,5.86064950152945,0,0,95.681252405632,95.681252405632,0.328084,0,0.40960303148,0.70782154496,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4000,51.5195079987758,5.8606495238134,0,0,95.681252405632,95.681252405632,0.328084,0,0.4091863648,0.71651249012,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4100,51.5195079587291,5.86064946861165,0,0,95.681252405632,95.681252405632,0.328084,0,0.42772967248,0.7357611784,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4200,51.5195079068795,5.8606494070191,0,0,95.681252405632,95.681252405632,0.328084,0,0.44999017188,0.7592848012,15,5,95.681252405632,0,0,0.44999017188,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4300,51.5195078818275,5.86064934496361,0,0,95.681252405632,95.681252405632,0.328084,0,0.46677166848,0.77607942116,15,5,95.681252405632,0,0,0.46677166848,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4400,51.5195077890355,5.86064922512492,0,0,95.681252405632,95.681252405632,0.328084,0,0.50863846772,0.81951118108,15,5,95.681252405632,0,0,0.50863846772,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4500,51.5195077867101,5.86064916572057,0,0,95.681252405632,95.681252405632,0.328084,0,0.52004266756,0.83302496104,15,5,95.681252405632,0,0,0.52004266756,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4600,51.5195077882897,5.86064910437928,0,0,95.681252405632,95.681252405632,0.328084,0,0.53109581752,0.84696196936,15,5,95.681252405632,0,0,0.53109581752,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4700,51.519507756991,5.86064908590556,0,0,95.681252405632,95.681252405632,0.328084,0,0.54108925616,0.85912732408,15,5,95.681252405632,0,0,0.54108925616,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4800,51.5195076873033,5.86064915134189,0,0,95.681252405632,95.681252405632,0.328084,0,0.54452429564,0.88857614392,15,5,95.681252405632,0,0,0.54452429564,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
4900,51.5195076282006,5.8606491242685,0,0,95.681252405632,95.681252405632,0.328084,0,0.56291668468,0.91099740448,15,5,95.681252405632,0,0,0.56291668468,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1037,1024,0,0,2,0,0,0,95.681252405632,0,10,Assisted_Takeoff
5000,51.5195075645414,5.86064908421385,0,0,95.681252405632,95.681252405632,0.328084,0,0.5849081552,0.935941631,15,5,95.681252405632,0,0,0.5849081552,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1277,1024,0,0,38,0,0,0,95.681252405632,0,10,Assisted_Takeoff
5100,51.5195075403884,5.86064903452178,0,0,95.681252405632,95.681252405632,0.328084,0,0.59920277508,0.95025593592,15,5,95.681252405632,0,0,0.59920277508,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1358,1024,0,0,51,0,0,0,95.681252405632,0,10,Assisted_Takeoff
5200,51.5195075096368,5.86064895775374,0,0,95.681252405632,95.681252405632,0.328084,0,0.61972771012,0.97098428304,15,5,95.681252405632,0,0,0.61972771012,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1408,1024,0,0,58,0,0,0,95.681252405632,0,10,Assisted_Takeoff
5300,51.519507475065,5.8606489404976,0,0,95.681252405632,95.681252405632,0.328084,0,0.63096130628,0.98418966404,15,5,95.681252405632,0,0,0.63096130628,0,0,0,264.2,-1.3,0.5,0,0,1024,1024,1392,1024,0,0,56,0,0,0,95.681252405632,0,10,Assisted_Takeoff
5400,51.5195074307192,5.860648932027,0,0,95.681252405632,95.681252405632,0.328084,0,0.64317915444,1.00048559632,15,5,95.681252405632,0,0,0.64317915444,0,0,0,264.3,-1.2,0.5,0,0,1024,1024,1380,1024,0,0,54,0,0,0,95.681252405632,0,10,Assisted_Takeoff
5500,51.5195073761533,5.86064889698639,0,0,95.681252405632,95.681252405632,0.328084,0,0.66252954876,1.02192260488,15,5,95.681252405632,0,0,0.66252954876,0,0,0,264.4,-1.4,0.5,0,0,1024,1024,1403,1024,0,0,57,0,0,0,95.681252405632,0,10,Assisted_Takeoff
5600,51.5195073160116,5.86064884557422,0,0,95.681252405632,95.681252405632,0.328084,0,0.68609254164,1.04677824872,15,5,95.681252405632,0,0,0.68609254164,0,0,0,264.8,-1.5,0.7,0,0,1024,1024,1412,1024,0,0,59,0,0,0,95.681252405632,0,10,Assisted_Takeoff
5700,51.5195072433504,5.86064885341408,0,0,95.681252405632,95.681252405632,0.328084,0,0.7034449044,1.07334649104,15,5,95.681252405632,0,0,0.7034449044,0,0,0,265.2,-1.8,0.3,0,0,1024,1024,1414,1024,0,0,59,0,0,0,95.681252405632,0,10,Assisted_Takeoff
