time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
5800,51.5197584628968,5.86038583821188,0,0,95.967098215304,95.967098215304,0.328084,0,0.14353346916,0.73766078476,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5900,51.5197584644096,5.86038587323639,0,0,95.967098215304,95.967098215304,0.328084,0,0.135563324548,0.74563322596,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6000,51.5197584717848,5.86038597213335,0,0,95.967098215304,95.967098215304,0.328084,0,0.112996066608,0.76824477524,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6100,51.519758473625,5.86038599555674,0,0,95.967098215304,95.967098215304,0.328084,0,0.107652234416,0.7736056678,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6200,51.5197584744131,5.86038601428014,0,0,95.967098215304,95.967098215304,0.328084,0,0.103393047928,0.77786419812,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6300,51.5197584745947,5.86038602954179,0,0,95.967098215304,95.967098215304,0.328084,0,0.099928808972,0.781332046,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.4,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6400,51.5197584738472,5.86038604285098,0,0,95.967098215304,95.967098215304,0.328084,0,0.096923887616,0.78436354216,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6500,51.5197584563545,5.86038602112361,0,0,95.967098215304,95.967098215304,0.328084,0,0.102353677816,0.79243112772,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6600,51.5197584279325,5.86038603403182,0,0,95.967098215304,95.967098215304,0.328084,0,0.1011400951,0.80320540628,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
6700,51.5197583704174,5.86038604748816,0,0,95.967098215304,95.967098215304,0.328084,0,0.10479659128,0.82441275604,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.1,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
